Gattung;Zugnummer;Hängt an Zugnummer$Flügelrichtung (v = nach vorne, h = nach hinten, ohne Angabe = kein Flügeln);Herkunft;Startbetriebsstelle;aus Richtung;Fahrtziel;Zielbetriebsstelle;Gleis;an;ab;min. Aufenthalt;rangiert um;weiter als;Vereinigt sich mit Zugnummern ($-getrennt);Kann das Gleis mit Zügen teilen (Zugnummern durch $ getrennt)
ICE;72;;Zürich HB;von SFS;O;Hamburg-Altona;nach Langenhagen;Gleis 7;18:12;18:20;2;;;;
IC;2045;;Köln Hbf;von Wunstorf;W;Leipzig Hbf;nach Lehrte;Gleis 10;18:14;18:36;2;;;;
ME;82134;;Göttingen;von Alfeld;O;Hamburg Hbf;nach Langenhagen;Gleis 8;18:18;18:40;2;;;;
ICE;1744;;Dresden Hbf;von Lehrte;O;Oldenburg(Oldb);nach Wunstorf;Gleis 11;18:18;18:45;2;;;;
ICE;683;;Hamburg-Altona;von Langenhagen;W;München Hbf;nach SFS;Gleis 4;18:19;18:26;2;;;633;633
S3;34326;;Hildesheim Hbf;von Lehrte;O;Hildesheim Hbf;nach Lehrte;Gleis 13;18:19;18:34;5;;S3 34329;;
ICE;544;;Berlin Ostbahnhof;von Lehrte;O;Köln Hbf;nach Wunstorf;Gleis 12;18:23;18:31;2;;;;
ICE;554;544;Berlin Ostbahnhof;von Lehrte;O;Köln Hbf;nach Wunstorf;Gleis 12;18:23;18:31;2;;;;
ICE;943;953;Düsseldorf Hbf;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;18:24;18:31;2;;;;
ICE;953;;Köln Hbf;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;18:24;18:31;2;;;;
ICE;786;;München Hbf;von SFS;O;Hamburg-Altona;nach Langenhagen;Gleis 7;18:27;18:36;2;;;;
IC;140;;Berlin Ostbahnhof;von Lehrte;O;Amsterdam Centraal;nach Wunstorf;Gleis 12;18:32;18:40;2;;;;
ICE;773;;Hamburg-Altona;von Langenhagen;W;Stuttgart Hbf;nach SFS;Gleis 3;18:34;18:41;2;;;;
RE;4427;;Norddeich Mole;von Wunstorf;W;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 9;18:34;18:45;2;;;;
RE;14027;;Hannover-Hainholz;von Langenhagen;W;Wolfsburg Hbf;nach Lehrte;Gleis 13;18:35;18:46;2;;;;
ICE;1197;;Berlin Südkreuz;von Lehrte;O;Frankfurt(Main)Hbf;nach SFS;Gleis 4;18:38;18:48;5;;;;
RE;3615;;Hannover-Hainholz;von Langenhagen;W;Halle(Saale)Hbf;nach Alfeld;Gleis 3;18:44;18:55;2;;;;
RE;4853;;Rheine;von Wunstorf;W;Braunschweig Hbf;nach Lehrte;Gleis 9;18:46;18:55;2;;;;
IC;1925;;Berlin Südkreuz;von Lehrte;O;Köln Hbf;nach Wunstorf;Gleis 11;18:48;18:56;2;;;;
S7;34037;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;18:49;19:04;5;;S7 34038;;
IC;1990;;Frankfurt(Main)Hbf;von SFS;O;Berlin Südkreuz;nach Lehrte;Gleis 10;18:55;19:05;5;;;;
RE;4854;;Braunschweig Hbf;von Lehrte;O;Rheine;nach Wunstorf;Gleis 12;19:00;19:09;2;;;;
IC;2173;;Hamburg-Altona;von Langenhagen;W;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 4;19:00;19:15;2;;;;
RE;3614;;Halle(Saale)Hbf;von Alfeld;O;Hannover-Hainholz;nach Langenhagen;Gleis 8;19:01;19:13;2;;;;
RE;14026;;Wolfsburg Hbf;von Lehrte;O;Hannover-Hainholz;nach Langenhagen;Gleis 13;19:07;19:19;2;;;;
RE;4430;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Norddeich;nach Wunstorf;Gleis 12;19:09;19:21;2;;;;
IC;2435;;Norddeich Mole;von Wunstorf;W;Leipzig Hbf;nach Lehrte;Gleis 10;19:10;19:36;2;;;;
ME;82841;;Uelzen;von Langenhagen;W;Göttingen;nach Alfeld;Gleis 3;19:10;19:36;2;;;;
S6;34627;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;19:10;19:41;5;;S6 34628;;
ICE;974;;Stuttgart Hbf;von SFS;O;Kiel Hbf;nach Langenhagen;Gleis 7;19:12;19:20;2;;;;
IC;149;;Amsterdam Centraal;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;19:14;19:21;2;;;;
ICE;885;;Hamburg-Altona;von Langenhagen;W;München Hbf;nach SFS;Gleis 4;19:17;19:26;2;;;;
IC;2444;;Leipzig Hbf;von Lehrte;O;Köln Hbf;nach Wunstorf;Gleis 11;19:18;19:40;2;;;;
S3;34328;;Hildesheim Hbf;von Lehrte;O;Hildesheim Hbf;nach Lehrte;Gleis 13;19:19;19:34;5;;S3 34331;;
ME;82840;;Göttingen;von Alfeld;O;Uelzen;nach Langenhagen;Gleis 7;19:21;19:40;2;;;;
ICE;844;;Berlin Ostbahnhof;von Lehrte;O;Köln Hbf;nach Wunstorf;Gleis 12;19:23;19:31;2;;;;
ICE;854;844;Berlin Ostbahnhof;von Lehrte;O;Köln Hbf;nach Wunstorf;Gleis 12;19:23;19:31;2;;;;
ICE;643;653;Köln/Bonn Flughafen;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;19:24;19:31;2;;;;
ICE;653;;Köln Hbf;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;19:24;19:31;2;;;;
ICE;534;584;München Hbf;von SFS;O;Kiel Hbf;nach Langenhagen;Gleis 8;19:27;19:36;2;;;;
ICE;584;;München Hbf;von SFS;O;Lübeck Hbf;nach Langenhagen;Gleis 8;19:27;19:36;2;;;;
ICE;1173;;Kiel Hbf;von Langenhagen;W;Basel SBB;nach SFS;Gleis 4;19:34;19:41;2;;;;
RE;4429;;Bremen Hbf;von Wunstorf;W;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 9;19:34;19:45;2;;;;
RE;14029;;Hannover-Hainholz;von Langenhagen;W;Wolfsburg Hbf;nach Lehrte;Gleis 13;19:35;19:46;2;;;;
RE;14075;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Bad Harzburg;nach Alfeld;Gleis 3;19:36;19:48;5;;;;
ICE;776;;Frankfurt(Main)Hbf;von SFS;O;Oldenburg(Oldb);nach Wunstorf;Gleis 7;19:42;19:49;2;;;;
RE;4885;;Bielefeld Hbf;von Wunstorf;W;Braunschweig Hbf;nach Lehrte;Gleis 10;19:46;19:55;2;;;;
S7;34039;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;19:49;20:04;5;;S7 34040;;
IC;2276;;Karlsruhe Hbf;von SFS;O;Hamburg-Altona;nach Langenhagen;Gleis 7;19:51;19:59;2;;;;
IC;2379;;Stralsund Hbf;von Langenhagen;W;Frankfurt(Main)Hbf;nach SFS;Gleis 4;19:53;20:01;2;;;;
IC;1912;;Düsseldorf Hbf;von Wunstorf;W;Berlin Südkreuz;nach Lehrte;Gleis 10;19:57;20:04;2;;;;
RE;4886;;Braunschweig Hbf;von Lehrte;O;Bielefeld Hbf;nach Wunstorf;Gleis 12;20:00;20:09;2;;;;
RE;14074;;Bad Harzburg;von Alfeld;O;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 9;20:05;20:17;5;;;;
RE;14028;;Wolfsburg Hbf;von Lehrte;O;Hannover-Hainholz;nach Langenhagen;Gleis 13;20:07;20:19;2;;;;
RE;4432;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Bremen Hbf;nach Wunstorf;Gleis 12;20:09;20:21;2;;;;
ICE;635;;Bremen Hbf;von Wunstorf;W;Nürnberg Hbf;nach SFS;Gleis 4;20:10;20:26;2;;;685;685
ME;82843;;Uelzen;von Langenhagen;W;Göttingen;nach Alfeld;Gleis 3;20:10;20:33;2;;;;
S6;34629;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;20:10;20:41;5;;S6 34630;;
ICE;70;;Basel SBB;von SFS;O;Hamburg-Altona;nach Langenhagen;Gleis 8;20:12;20:20;2;;;;
IC;2012;;Oberstdorf;von Wunstorf;W;Magdeburg Hbf;nach Lehrte;Gleis 10;20:14;20:36;2;;;;
ICE;1090;;München Hbf;von SFS;O;Berlin Südkreuz;nach Lehrte;Gleis 7;20:16;20:26;5;;;;
ICE;685;;Hamburg-Altona;von Langenhagen;W;Nürnberg Hbf;nach SFS;Gleis 4;20:17;20:26;2;;;635;635
IC;2032;;Dresden Hbf;von Lehrte;O;Oldenburg(Oldb);nach Wunstorf;Gleis 11;20:18;20:45;2;;;;
S3;34330;;Hildesheim Hbf;von Lehrte;O;Hildesheim Hbf;nach Lehrte;Gleis 13;20:19;20:34;5;;S3 34333;;
ME;82842;;Göttingen;von Alfeld;O;Uelzen;nach Langenhagen;Gleis 8;20:20;20:40;2;;;;
ICE;542;;Berlin Ostbahnhof;von Lehrte;O;Köln Hbf;nach Wunstorf;Gleis 12;20:23;20:31;2;;;;
ICE;552;542;Berlin Ostbahnhof;von Lehrte;O;Bonn Hbf;nach Wunstorf;Gleis 12;20:23;20:31;2;;;;
ICE;945;955;Köln/Bonn Flughafen;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;20:24;20:31;2;;;;
ICE;955;;Köln Hbf;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;20:24;20:31;2;;;;
ICE;90;;Wien Westbahnhof;von SFS;O;Hamburg-Altona;nach Langenhagen;Gleis 7;20:27;20:36;2;;;;
IC;2242;;Berlin Ostbahnhof;von Lehrte;O;Münster(Westf)Hbf;nach Wunstorf;Gleis 12;20:32;20:40;2;;;;
ICE;1675;;Hamburg-Altona;von Langenhagen;W;Frankfurt(Main)Hbf;nach SFS;Gleis 4;20:34;20:41;2;;;;
RE;3617;;Hannover-Hainholz;von Langenhagen;W;Halle(Saale)Hbf;nach Alfeld;Gleis 3;20:34;20:45;2;;;;
RE;3619;3617;Hannover-Hainholz;von Langenhagen;W;Bad Harzburg;nach Alfeld;Gleis 3;20:34;20:45;2;;;;
RE;4431;;Norddeich Mole;von Wunstorf;W;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 9;20:34;20:45;2;;;;
RE;14031;;Hannover-Hainholz;von Langenhagen;W;Wolfsburg Hbf;nach Lehrte;Gleis 13;20:35;20:46;2;;;;
RE;4855;;Rheine;von Wunstorf;W;Braunschweig Hbf;nach Lehrte;Gleis 10;20:46;20:55;2;;;;
S7;34041;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;20:49;21:04;5;;S7 34042;;
IC;1984;;München Hbf;von Alfeld;O;Hamburg-Altona;nach Langenhagen;Gleis 7;20:51;20:59;2;;;;
RE;4856;;Braunschweig Hbf;von Lehrte;O;Osnabrück Hbf;nach Wunstorf;Gleis 12;21:00;21:09;2;;;;
RE;3616;;Halle(Saale)Hbf;von Alfeld;O;Hannover-Hainholz;nach Langenhagen;Gleis 7;21:01;21:13;2;;;;
RE;14030;;Wolfsburg Hbf;von Lehrte;O;Hannover-Hainholz;nach Langenhagen;Gleis 13;21:07;21:19;2;;;;
RE;4434;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Bremen Hbf;nach Wunstorf;Gleis 12;21:09;21:21;2;;;;
IC;2437;;Oldenburg(Oldb);von Wunstorf;W;Magdeburg Hbf;nach Lehrte;Gleis 10;21:10;21:36;2;;;;
ME;82845;;Uelzen;von Langenhagen;W;Göttingen;nach Alfeld;Gleis 3;21:10;21:36;2;;;;
S6;34631;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;21:10;21:41;5;;S6 34632;;
ICE;572;;Stuttgart Hbf;von SFS;O;Hamburg-Altona;nach Langenhagen;Gleis 7;21:14;21:22;2;;;;
IC;241;;Amsterdam Centraal;von Wunstorf;W;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 9;21:14;21:24;2;;;;
ICE;887;;Hamburg-Altona;von Langenhagen;W;Wiesbaden Hbf;nach SFS;Gleis 4;21:17;21:26;2;;;;
S3;34332;;Hildesheim Hbf;von Lehrte;O;Hildesheim Hbf;nach Lehrte;Gleis 13;21:19;21:34;5;;S3 34335;;
ME;82844;;Göttingen;von Alfeld;O;Uelzen;nach Langenhagen;Gleis 7;21:21;21:40;2;;;;
ICE;842;;Berlin Ostbahnhof;von Lehrte;O;Köln Hbf;nach Wunstorf;Gleis 12;21:23;21:31;2;;;;
ICE;932;842$h;Berlin Ostbahnhof;von Lehrte;O;Oldenburg(Oldb);nach Wunstorf;Gleis 12;21:23;21:41;2;;;;
ICE;645;655;Düsseldorf Hbf;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;21:24;21:31;2;;;;
ICE;655;;Köln Hbf;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;21:24;21:31;2;;;;
ICE;582;;München Hbf;von SFS;O;Hamburg-Altona;nach Langenhagen;Gleis 8;21:27;21:36;2;;;;
CNL;479;;Hamburg-Altona;von Wunstorf;W;Zürich HB;nach Alfeld;Gleis 4;21:30;22:16;2;;;450;450
RE;4433;;Bremen Hbf;von Wunstorf;W;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 9;21:34;21:45;2;;;;
RE;14033;;Hannover-Hainholz;von Langenhagen;W;Wolfsburg Hbf;nach Lehrte;Gleis 13;21:35;21:46;2;;;;
RE;14077;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Goslar;nach Alfeld;Gleis 3;21:36;21:48;5;;;;
RE;4887;;Bielefeld Hbf;von Wunstorf;W;Braunschweig Hbf;nach Lehrte;Gleis 9;21:46;21:55;2;;;;
CNL;450;;Berlin Südkreuz;von Lehrte;O;Paris Est;nach Alfeld;Gleis 4;21:46;22:16;5;;;479;479
S7;34043;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;21:49;22:04;5;;S7 34044;;
IC;2274;;Karlsruhe Hbf;von SFS;O;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 8;21:51;22:01;5;;;;
RE;4888;;Braunschweig Hbf;von Lehrte;O;Bielefeld Hbf;nach Wunstorf;Gleis 12;22:00;22:09;2;;;;
RE;14076;;Bad Harzburg;von Alfeld;O;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 8;22:05;22:17;5;;;;
RE;14032;;Wolfsburg Hbf;von Lehrte;O;Hannover-Hainholz;nach Langenhagen;Gleis 13;22:07;22:19;2;;;;
RE;4436;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Bremen Hbf;nach Wunstorf;Gleis 12;22:09;22:21;2;;;;
S6;34633;;Celle;von Lehrte;O;Hildesheim Hbf;nach Lehrte;Gleis 14;22:10;22:34;5;;S3 34337;;
ICE;376;;Interlaken Ost;von SFS;O;Hamburg-Altona;nach Langenhagen;Gleis 7;22:12;22:20;2;;;;
ME;82846;;Göttingen;von Alfeld;O;Uelzen;nach Langenhagen;Gleis 8;22:18;22:48;2;;;;
S3;34334;;Hildesheim Hbf;von Lehrte;O;Hannover-Hainholz;nach Langenhagen;Gleis 13;22:19;22:29;2;;;;
EN;491;;Hamburg-Altona;von Wunstorf;W;Wien Westbahnhof;nach Alfeld;Gleis 4;22:21;22:27;2;;;;
ME;82847;;Uelzen;von Langenhagen;W;Göttingen;nach Alfeld;Gleis 3;22:22;22:36;2;;;;
ICE;947;957;Düsseldorf Hbf;von Wunstorf;W;Berlin Hbf (tief);nach Lehrte;Gleis 9;22:24;22:31;2;;;;
ICE;957;;Köln Hbf;von Wunstorf;W;Berlin Hbf (tief);nach Lehrte;Gleis 9;22:24;22:31;2;;;;
RE;4435;;Norddeich Mole;von Wunstorf;W;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 9;22:34;22:45;2;;;;
ICE;782;;München Hbf;von SFS;O;Hamburg-Altona;nach Langenhagen;Gleis 7;22:35;22:44;2;;;;
RE;14035;;Hannover-Hainholz;von Langenhagen;W;Wolfsburg Hbf;nach Lehrte;Gleis 13;22:35;22:46;2;;;;
ICE;732;782$h;München Hbf;von SFS;O;Bremen Hbf;nach Wunstorf;Gleis 7;22:35;22:50;2;;;;
RE;4857;;Rheine;von Wunstorf;W;Braunschweig Hbf;nach Lehrte;Gleis 9;22:46;22:55;2;;;;
IC;2230;;Dresden Hbf;von Lehrte;O;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 10;22:46;23:02;5;;;;
S7;34045;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;22:49;23:04;5;;S7 34046;;
ICE;540;;Berlin Ostbahnhof;von Lehrte;O;Köln Hbf;nach Wunstorf;Gleis 11;22:51;23:01;2;;;;
ICE;550;540$h;Berlin Ostbahnhof;von Lehrte;O;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 11;22:51;23:06;5;;;;
CNL;1287;;Hamburg-Altona;von Langenhagen;W;München Ost;nach Lehrte;Gleis 4;22:56;23:23;2;;;;
RE;4858;;Braunschweig Hbf;von Lehrte;O;Minden(Westf);nach Wunstorf;Gleis 12;23:00;23:09;2;;;;
RE;14034;;Wolfsburg Hbf;von Lehrte;O;Hannover-Hainholz;nach Langenhagen;Gleis 13;23:08;23:20;2;;;;
RE;4438;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Bremen Hbf;nach Wunstorf;Gleis 12;23:09;23:21;2;;;;
ME;82849;;Uelzen;von Langenhagen;W;Göttingen;nach Alfeld;Gleis 3;23:13;23:36;2;;;;
ME;82848;;Göttingen;von Alfeld;O;Uelzen;nach Langenhagen;Gleis 8;23:18;23:40;2;;;;
S3;34336;;Hildesheim Hbf;von Lehrte;O;Hildesheim Hbf;nach Lehrte;Gleis 13;23:19;23:34;5;;S3 34339;;
RE;4437;;Bremen Hbf;von Wunstorf;W;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 11;23:34;23:45;2;;;;
RE;14037;;Hannover-Hainholz;von Langenhagen;W;Wolfsburg Hbf;nach Lehrte;Gleis 12;23:44;23:55;2;;;;
S7;34047;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;23:49;00:04;5;;S7 34000;;
ICE;272;;Zürich HB;von SFS;O;Hamburg-Altona;nach Langenhagen;Gleis 8;23:57;00:05;2;;;;
ME;82133;;Hamburg Hbf;von Langenhagen;W;Uelzen;nach Langenhagen;Gleis 7;23:58;00:37;5;;ME 82852;;
