Gattung;Zugnummer;Hängt an Zugnummer$Flügelrichtung (v = nach vorne, h = nach hinten, ohne Angabe = kein Flügeln);Herkunft;Startbetriebsstelle;aus Richtung;Fahrtziel;Zielbetriebsstelle;Gleis;an;ab;min. Aufenthalt;rangiert um;weiter als;Vereinigt sich mit Zugnummern ($-getrennt);Kann das Gleis mit Zügen teilen (Zugnummern durch $ getrennt)
RE;14008;;Wolfsburg Hbf;von Lehrte;O;Hannover-Hainholz;nach Langenhagen;Gleis 13;10:07;10:19;2;;;;
RE;4412;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Bremen Hbf;nach Wunstorf;Gleis 12;10:09;10:21;2;;;;
ICE;535;;Bremen Hbf;von Wunstorf;W;München Hbf;nach SFS;Gleis 4;10:10;10:26;2;;;585;585
ME;82823;;Uelzen;von Langenhagen;W;Göttingen;nach Alfeld;Gleis 3;10:10;10:33;2;;;;
S6;34609;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;10:10;10:41;5;;S6 34610;;
ICE;674;;Karlsruhe Hbf;von SFS;O;Kiel Hbf;nach Langenhagen;Gleis 7;10:12;10:20;2;;;;
IC;2443;;Köln Hbf;von Wunstorf;W;Leipzig Hbf;nach Lehrte;Gleis 10;10:14;10:36;2;;;;
ICE;585;;Lübeck Hbf;von Langenhagen;W;München Hbf;nach SFS;Gleis 4;10:17;10:26;2;;;535;535
ME;82822;;Göttingen;von Alfeld;O;Uelzen;nach Langenhagen;Gleis 8;10:18;10:40;2;;;;
IC;2432;;Cottbus;von Lehrte;O;Norddeich Mole;nach Wunstorf;Gleis 11;10:18;10:45;2;;;;
S3;34310;;Hildesheim Hbf;von Lehrte;O;Hildesheim Hbf;nach Lehrte;Gleis 14;10:19;10:34;5;;S3 34313;;34609
ICE;642;;Berlin Ostbahnhof;von Lehrte;O;Düsseldorf Hbf;nach Wunstorf;Gleis 12;10:23;10:31;2;;;;
ICE;652;642;Berlin Ostbahnhof;von Lehrte;O;Bonn Hbf;nach Wunstorf;Gleis 12;10:23;10:31;2;;;;
ICE;845;855;Köln/Bonn Flughafen;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;10:24;10:31;2;;;;
ICE;855;;Köln Hbf;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;10:24;10:31;2;;;;
ICE;886;;München Hbf;von SFS;O;Hamburg-Altona;nach Langenhagen;Gleis 7;10:27;10:36;2;;;;
IC;148;;Berlin Ostbahnhof;von Lehrte;O;Amsterdam Centraal;nach Wunstorf;Gleis 12;10:32;10:40;2;;;;
ICE;575;;Hamburg-Altona;von Langenhagen;W;Stuttgart Hbf;nach SFS;Gleis 4;10:34;10:41;2;;;;
RE;4411;;Norddeich;von Wunstorf;W;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 9;10:34;10:45;2;;;;
RE;14011;;Hannover-Hainholz;von Langenhagen;W;Wolfsburg Hbf;nach Lehrte;Gleis 13;10:35;10:46;2;;;;
RE;3607;;Hannover-Hainholz;von Langenhagen;W;Halle(Saale)Hbf;nach Alfeld;Gleis 4;10:44;10:55;2;;;;
RE;4845;;Rheine;von Wunstorf;W;Braunschweig Hbf;nach Lehrte;Gleis 9;10:46;10:55;2;;;;
S7;34021;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;10:49;11:04;5;;S7 34022;;
IC;1979;;Hamburg-Altona;von Langenhagen;W;Frankfurt(Main)Hbf;nach SFS;Gleis 3;10:54;11:01;2;;;;
RE;4846;;Braunschweig Hbf;von Lehrte;O;Rheine;nach Wunstorf;Gleis 12;11:00;11:09;2;;;;
RE;3606;;Halle(Saale)Hbf;von Alfeld;O;Hannover-Hainholz;nach Langenhagen;Gleis 8;11:01;11:13;2;;;;
RE;14010;;Wolfsburg Hbf;von Lehrte;O;Hannover-Hainholz;nach Langenhagen;Gleis 13;11:07;11:19;2;;;;
RE;4414;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Norddeich Mole;nach Wunstorf;Gleis 12;11:09;11:21;2;;;;
IC;2037;;Norddeich Mole;von Wunstorf;W;Dresden Hbf;nach Lehrte;Gleis 10;11:10;11:36;2;;;;
ME;82825;;Uelzen;von Langenhagen;W;Göttingen;nach Alfeld;Gleis 3;11:10;11:36;2;;;;
S6;34611;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;11:10;11:41;5;;S6 34612;;
ICE;772;;Stuttgart Hbf;von SFS;O;Hamburg-Altona;nach Langenhagen;Gleis 7;11:12;11:20;2;;;;
IC;141;;Amsterdam Centraal;von Wunstorf;W;Berlin Hbf (tief);nach Lehrte;Gleis 9;11:14;11:21;2;;;;
ICE;787;;Hamburg-Altona;von Langenhagen;W;München Hbf;nach SFS;Gleis 4;11:17;11:26;2;;;;
IC;2046;;Leipzig Hbf;von Lehrte;O;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 11;11:18;11:35;5;;;;
S3;34312;;Hildesheim Hbf;von Lehrte;O;Hildesheim Hbf;nach Lehrte;Gleis 13;11:19;11:34;5;;S3 34315;;
ME;82824;;Göttingen;von Alfeld;O;Uelzen;nach Langenhagen;Gleis 7;11:21;11:40;2;;;;
ICE;942;;Berlin Ostbahnhof;von Lehrte;O;Köln/Bonn Flughafen;nach Wunstorf;Gleis 12;11:23;11:31;2;;;;
